N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8246997452383841,0.7858412642435388,0.7769625577190433,0.7352941176470589,0.7214713981610102,0.7125500537688141
Model2,500,2,1,0.807715637510615,0.7714639105431558,0.778817035708438,0.6774628879892037,0.6472308869447587,0.6236908090918698
Model3,500,3,1,0.8342836345990537,0.7674809345426653,0.7919928582796765,0.7634782608695653,0.677511516451538,0.7165893489467001
Model4,500,1,2,0.8604876865218973,0.8469736960828008,0.8299556544335371,0.8502202643171806,0.8462758192464719,0.8406618822592608
Model5,500,2,2,0.8914230255974767,0.8837141534021627,0.8795659067034871,0.8869828456104945,0.8911126909927793,0.8869606724758362
Model6,500,3,2,0.8898459298798981,0.8864027997266487,0.8807092788257466,0.8492890995260663,0.8787070027491664,0.8534315908616861
Model7,800,1,2,0.8671600145578067,0.8587444900941608,0.8436605872431995,0.8508557457212714,0.8535685841908927,0.8420263658380632
Model8,800,2,2,0.9020987504549315,0.8954034825907249,0.8927098739340186,0.9163636363636364,0.9163494395321942,0.9152639466612825
Model9,800,3,2,0.8670386995026083,0.8891998025446844,0.8714010234013595,0.8189033189033189,0.8324370287164112,0.8132482915507202
